Effective date ,S&P 500,,,,,,,,
24/08/2021,4486.23,,,,,,,,
25/08/2021,4496.19,,,,,,,,
26/08/2021,4470,,,,,,,,
27/08/2021,4509.37,,,,,,,,
30/08/2021,4528.79,,,,,,,,
31/08/2021,4522.68,,,,,,,,
01/09/2021,4524.09,,,,,,,,
02/09/2021,4536.95,,,,,,,,
03/09/2021,4535.43,,,,,,,,
07/09/2021,4520.03,,,,,,,,
08/09/2021,4514.07,,,,,,,,
09/09/2021,4493.28,,,,,,,,
10/09/2021,4458.58,,,,,,,,
13/09/2021,4468.73,,,,,,,,
14/09/2021,4443.05,,,,,,,,
15/09/2021,4480.7,,,,,,,,
16/09/2021,4473.75,,,,,,,,
17/09/2021,4432.99,,,,,,,,
20/09/2021,4357.73,,,,,,,,
21/09/2021,4354.19,,,,,,,,
22/09/2021,4395.64,,,,,,,,
23/09/2021,4448.98,,,,,,,,
24/09/2021,4455.48,,,,,,,,
27/09/2021,4443.11,,,,,,,,
28/09/2021,4352.63,,,,,,,,
29/09/2021,4359.46,,,,,,,,
30/09/2021,4307.54,,,,,,,,
01/10/2021,4357.04,,,,,,,,
04/10/2021,4300.46,,,,,,,,
05/10/2021,4345.72,,,,,,,,
06/10/2021,4363.55,,,,,,,,
07/10/2021,4399.76,,,,,,,,
08/10/2021,4391.34,,,,,,,,
11/10/2021,4361.19,,,,,,,,
12/10/2021,4350.65,,,,,,,,
13/10/2021,4363.8,,,,,,,,
14/10/2021,4438.26,,,,,,,,
15/10/2021,4471.37,,,,,,,,
18/10/2021,4486.46,,,,,,,,
19/10/2021,4519.63,,,,,,,,
20/10/2021,4536.19,,,,,,,,
21/10/2021,4549.78,,,,,,,,
22/10/2021,4544.9,,,,,,,,
25/10/2021,4566.48,,,,,,,,
26/10/2021,4574.79,,,,,,,,
27/10/2021,4551.68,,,,,,,,
28/10/2021,4596.42,,,,,,,,
29/10/2021,4605.38,,,,,,,,
01/11/2021,4613.67,,,,,,,,
02/11/2021,4630.65,,,,,,,,
03/11/2021,4660.57,,,,,,,,
04/11/2021,4680.06,,,,,,,,
05/11/2021,4697.53,,,,,,,,
08/11/2021,4701.7,,,,,,,,
09/11/2021,4685.25,,,,,,,,
10/11/2021,4646.71,,,,,,,,
11/11/2021,4649.27,,,,,,,,
12/11/2021,4682.85,,,,,,,,
15/11/2021,4682.8,,,,,,,,
16/11/2021,4700.9,,,,,,,,
17/11/2021,4688.67,,,,,,,,
18/11/2021,4704.54,,,,,,,,
19/11/2021,4697.96,,,,,,,,
22/11/2021,4682.94,,,,,,,,
23/11/2021,4690.7,,,,,,,,
24/11/2021,4701.46,,,,,,,,
26/11/2021,4594.62,,,,,,,,
29/11/2021,4655.27,,,,,,,,
30/11/2021,4567,,,,,,,,
01/12/2021,4513.04,,,,,,,,
02/12/2021,4577.1,,,,,,,,
03/12/2021,4538.43,,,,,,,,
06/12/2021,4591.67,,,,,,,,
07/12/2021,4686.75,,,,,,,,
08/12/2021,4701.21,,,,,,,,
09/12/2021,4667.45,,,,,,,,
10/12/2021,4712.02,,,,,,,,
13/12/2021,4668.97,,,,,,,,
14/12/2021,4634.09,,,,,,,,
15/12/2021,4709.85,,,,,,,,
16/12/2021,4668.67,,,,,,,,
17/12/2021,4620.64,,,,,,,,
20/12/2021,4568.02,,,,,,,,
21/12/2021,4649.23,,,,,,,,
22/12/2021,4696.56,,,,,,,,
23/12/2021,4725.79,,,,,,,,
27/12/2021,4791.19,,,,,,,,
28/12/2021,4786.35,,,,,,,,
29/12/2021,4793.06,,,,,,,,
30/12/2021,4778.73,,,,,,,,
31/12/2021,4766.18,,,,,,,,
03/01/2022,4796.56,,,,,,,,
04/01/2022,4793.54,,,,,,,,
05/01/2022,4700.58,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"PERFORMANCE DISCLOSURE

Source: S&P Dow Jones Indices LLC.

The launch date of the S&P 500 was March 4, 1957. 

S&P Dow Jones Indices (or S&P DJI) defines various dates to assist our clients in providing transparency. The First Value Date is the first day for which there is a calculated value (either live or back-tested) for a given index. The Base Date is the date at which the index is set to a fixed value for calculation purposes. The Launch Date designates the date when the values of an index are first considered live: index values provided for any date or time period prior to the index’s Launch Date are considered back-tested. S&P Dow Jones Indices defines the Launch Date as the date by which the values of an index are known to have been released to the public, for example via the company’s public website or its data feed to external parties. For Dow Jones-branded indices introduced prior to May 31, 2013, the Launch Date (which prior to May 31, 2013, was termed “Date of introduction”) is set at a date upon which no further changes were permitted to be made to the index methodology, but that may have been prior to the Index’s public release date.

Please refer to the methodology for the Index for more details about the index, including the manner in which it is rebalanced, the timing of such rebalancing, criteria for additions and deletions, as well as all index calculations.

Information presented prior to an index’s launch date is hypothetical back-tested performance, not actual performance, and is based on the index methodology in effect on the launch date applied retroactively. However, when creating back-tested history for periods of market anomalies or other periods that do not reflect the general current market environment, index methodology rules may be relaxed to capture a large enough universe of securities to simulate the target market the index is designed to measure or strategy the index is designed to capture. For example, market capitalization and liquidity thresholds may be reduced. Back-tested performance reflects application of an index methodology and selection of index constituents with the benefit of hindsight and knowledge of factors that may have positively affected its performance, cannot account for all financial risk that may affect results and may be considered to reflect survivor/look ahead bias. Actual returns may differ significantly from, and be lower than, back-tested returns. Past performance is not an indication or guarantee of future results.

Typically, when S&P DJI creates back-tested index data, S&P DJI uses actual historical constituent-level data (e.g., historical price, market capitalization, and corporate action data) in its calculations. As ESG investing is still in early stages of development, certain datapoints used to calculate S&P DJI’s ESG indices may not be available for the entire desired period of back-tested history. The same data availability issue could be true for other indices as well. In cases when actual data is not available for all relevant historical periods, S&P DJI may employ a process of using “Backward Data Assumption” (or pulling back) of ESG data for the calculation of back-tested historical performance. “Backward Data Assumption” is a process that applies the earliest actual live data point available for an index constituent company to all prior history of index performance. For example, Backward Data Assumption inherently assumes that companies currently not involved in a specific business activity (also known as “product involvement”) were never involved historically and similarly also assumes that companies currently involved in a specific business activity were involved historically too.  The Backward Data Assumption allows the hypothetical back-test to be extended over more historical years than would be feasible using only actual data. For more information on “Backward Data Assumption”, please see https://www.spglobal.com/spdji/en/documents/education/faq-spdji-esg-back-testing-backward-data-assumption-overview.pdf. The methodology and factsheets of any index that employs backward assumption in the back-tested history will explicitly state so. The methodology will include an Appendix with a table setting forth the specific data points and relevant time period for which backward projected data was used.

Index returns shown do not represent the results of actual trading of investable assets/securities. S&P Dow Jones Indices maintains the index and calculates the index levels and performance shown or discussed but does not manage actual assets. Index returns do not reflect payment of any sales charges or fees an investor may pay to purchase the securities underlying the Index or investment funds that are intended to track the performance of the Index. The imposition of these fees and charges would cause actual and back-tested performance of the securities/fund to be lower than the Index performance shown. As a simple example, if an index returned 10% on a US $100,000 investment for a 12-month period (or US $10,000) and an actual asset-based fee of 1.5% was imposed at the end of the period on the investment plus accrued interest (or US $1,650), the net return would be 8.35% (or US $8,350) for the year. Over a three-year period, an annual 1.5% fee taken at year end with an assumed 10% return per year would result in a cumulative gross return of 33.10%, a total fee of US $5,375, and a cumulative net return of 27.2% (or US $27,200).


GENERAL DISCLAIMER

© 2022 S&P Dow Jones Indices. All rights reserved. Redistribution or reproduction in whole or in part are prohibited without written permission. S&P is a registered trademark of S&P Global, Inc. or its affiliates; DOW JONES is a registered trademark of Dow Jones Trademark Holdings LLC; and these trademarks have been licensed to S&P Dow Jones Indices. S&P Dow Jones Indices LLC, Dow Jones, S&P and their respective affiliates (“S&P Dow Jones Indices”) and third party licensors makes no representation or warranty, express or implied, as to the ability of any index to accurately represent the asset class or market sector that it purports to represent and S&P Dow Jones Indices and its third party licensors shall have no liability for any errors, omissions, or interruptions of any index or the data included therein. Past performance of an index is not an indication or guarantee of future results. This document does not constitute an offer of any services. Except for certain custom index calculation services, all information provided by S&P Dow Jones Indices is general in nature and not tailored to the needs of any person, entity or group of persons. S&P Dow Jones Indices receives compensation in connection with licensing its indices to third parties and providing custom calculation services. It is not possible to invest directly in an index. Exposure to an asset class represented by an index may be available through investable instruments offered by third parties that are based on that index. S&P Dow Jones Indices does not sponsor, endorse, sell, promote or manage any investment fund or other investment product or vehicle that seeks to provide an investment return based on the performance of any Index. S&P Dow Jones Indices LLC is not an investment or tax advisor. S&P Dow Jones Indices makes no representation regarding the advisability of investing in any such investment fund or other investment product or vehicle. A tax advisor should be consulted to evaluate the impact of any tax-exempt securities on portfolios and the tax consequences of making any particular investment decision. Credit-related information and other analyses, including ratings, are generally provided by licensors and/or affiliates of S&P Dow Jones Indices. Any credit-related information and other related analyses and statements are opinions as of the date they are expressed and are not statements of fact. S&P Dow Jones Indices LLC is analytically separate and independent from any other analytical department. For more information on any of our indices please visit www.spglobal.com/spdji.",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
